S;021200010031;021200010031;ACONDICIONAMIENTO DE LOCAL;A
S;021200020009;021200020009;REMODELACION DE OFICINAS, AMBIENTES Y BAÑOS;A
S;022000010015;022000010015;ACONDICIONAMIENTO DE AMBIENTES RELACIONADOS CON LA SALUD;A
S;040100010008;040100010008;SERVICIO DE COFFEE BREAK;A
S;062000010010;062000010010;SERVICIO DE LIMPIEZA Y MANTENIMIENTO DE LOCALES;A
S;070100020010;070100020010;ASESORIA EN ASPECTOS ADMINISTRATIVOS;A
S;070100160133;070100160133;ASESORIA Y CONSULTORIA EN LABORATORIO;I
S;070100160224;070100160224;CONSULTORIA EN AUDITORIA;A
S;070100161173;070100161173;CONSULTORIA P/ELABORACION DE ESTUDIO PRE INVERSION NIVEL DE PERFIL Y FACTIBILIDAD;A
S;070100250018;070100250018;ASESORIA LEGAL;A
S;071100380305;071100380305;SERVICIO DE ASISTENCIA TECNICA ADMINISTRATIVA;A
S;080100010003;080100010003;CONTRATACION DE PROFESIONAL EN ADMINISTRACION;I
S;080100010036;080100010036;CONTRATACION DE PROFESIONAL ESPECIALISTA ADMINISTRATIVO;I
S;080100010054;080100010054;CONTRATACION DE COORDINADOR ADMINISTRATIVO;I
S;080100010075;080100010075;CONTRATACION DE ASESOR ADMINISTRATIVO;I
S;080100010076;080100010076;CONTRATACION DE ASISTENTE ADMINISTRATIVO;I
S;080100020042;080100020042;CONTRATACION DE INGENIERO QUIMICO;I
S;080100020102;080100020102;CONTRATACION DE PROFESIONAL ANALISTA PROGRAMADOR;I
S;080100020071;080100020071;CONTRATACION DE INGENIERO DE SISTEMAS;I
S;080100020064;080100020064;CONTRATACION DE PROFESIONAL EN ELABORACION DE ESTUDIOS Y PROYECTOS;I
S;080100020057;080100020057;CONTRATACION DE INGENIERO ADMINISTRATIVO;I
S;080100020052;080100020052;CONTRATACION DE PROFESIONAL EN INGENIERIA CIVIL;I
S;080100050062;080100050062;CONTRATACION DE ASISTENTE EN AUDITORIA;I
S;080100100078;080100100078;CONTRATACION DE COORDINADOR DIVERSAS ESPECIALIDADES;I
S;080500020009;080500020009;CONTRATACION DE AUXILIAR ADMINISTRATIVO;I
S;080500020011;080500020011;CONTRATACION DE SUPERVISORES;I
S;080500020014;080500020014;CONTRATACION DE ASISTENTE TECNICO EN SIMPLIFICACION ADMINISTRATIVA;I
S;080500020114;080500020114;CONTRATACION DE CHOFER;I
S;080500020066;080500020066;SERVICIO DE CONTADOR PUBLICO;I
S;080500050028;080500050028;CONTRATACION DE PERSONAL TECNICO EN INFORMATICA;I
S;080500050059;080500050059;CONTRATACION DE PERSONAL EN SECRETARIA EJECUTIVA;I
S;110500100003;110500100003;SERVICIO DE CARPINTERIA;A
S;111100020006;111100020006;SERVICIO DE MANO DE OBRA EN GENERAL;I
S;170100020047;170100020047;SUSCRIPCION A LA BASE DE DATOS SPIJ - SISTEMA PERUANO DE INFORMACION JURIDICA;A
